index,age,businesstravel,department,distancefromhome,education,educationfield,employeeid,joblevel,jobrole,maritalstatus,monthlyincome,numcompaniesworked,percentsalaryhike,stockoptionlevel,trainingtimeslastyear,yearssincelastpromotion,yearswithcurrmanager,infodate,index:1,employeeid:1,environmentsatisfaction,jobsatisfaction,worklifebalance,datesurvey,index:2,employeeid:2,jobinvolvement,surveydate,employeeid:3,v_objetivo
541,42,Travel_Rarely,Research & Development,11,1,Life Sciences,542,4,Research Scientist,Married,60320,0.0,14,0,2,13,7,2015-12-31 00:00:00,541,542,4.0,1.0,3.0,2015-12-31 00:00:00,541,542,2,2015-12-31 00:00:00,,0
542,28,Travel_Frequently,Research & Development,7,3,Life Sciences,543,2,Manager,Divorced,29760,1.0,14,0,3,0,0,2015-12-31 00:00:00,542,543,1.0,2.0,3.0,2015-12-31 00:00:00,542,543,3,2015-12-31 00:00:00,543.0,1
543,50,Travel_Frequently,Research & Development,1,4,Medical,544,2,Research Scientist,Single,159920,3.0,14,0,3,0,0,2015-12-31 00:00:00,543,544,4.0,3.0,3.0,2015-12-31 00:00:00,543,544,3,2015-12-31 00:00:00,544.0,1
544,33,Travel_Frequently,Sales,9,3,Medical,545,2,Research Scientist,Married,46490,0.0,12,0,2,0,2,2015-12-31 00:00:00,544,545,4.0,2.0,3.0,2015-12-31 00:00:00,544,545,2,2015-12-31 00:00:00,,0
545,34,Non-Travel,Sales,1,1,Marketing,546,2,Research Director,Married,26960,3.0,23,0,3,0,0,2015-12-31 00:00:00,545,546,3.0,4.0,3.0,2015-12-31 00:00:00,545,546,3,2015-12-31 00:00:00,,0
546,48,Non-Travel,Sales,2,1,Life Sciences,547,2,Sales Executive,Single,23700,2.0,11,0,3,2,1,2015-12-31 00:00:00,546,547,1.0,4.0,2.0,2015-12-31 00:00:00,546,547,3,2015-12-31 00:00:00,,0
547,45,Non-Travel,Research & Development,1,3,Medical,548,2,Human Resources,Married,125040,1.0,12,1,2,4,12,2015-12-31 00:00:00,547,548,2.0,3.0,3.0,2015-12-31 00:00:00,547,548,3,2015-12-31 00:00:00,,0
548,52,Travel_Rarely,Sales,1,3,Life Sciences,549,1,Sales Executive,Single,59740,7.0,18,1,6,4,0,2015-12-31 00:00:00,548,549,2.0,2.0,3.0,2015-12-31 00:00:00,548,549,3,2015-12-31 00:00:00,,0
549,38,Travel_Rarely,Research & Development,6,2,Medical,550,1,Research Scientist,Divorced,47360,0.0,11,1,3,2,7,2015-12-31 00:00:00,549,550,3.0,3.0,3.0,2015-12-31 00:00:00,549,550,2,2015-12-31 00:00:00,,0
550,29,Travel_Rarely,Research & Development,8,3,Medical,551,4,Research Scientist,Divorced,52960,4.0,14,0,3,1,7,2015-12-31 00:00:00,550,551,3.0,4.0,3.0,2015-12-31 00:00:00,550,551,4,2015-12-31 00:00:00,,0
551,28,Travel_Rarely,Human Resources,1,3,Human Resources,552,4,Laboratory Technician,Divorced,67810,0.0,15,1,2,1,7,2015-12-31 00:00:00,551,552,4.0,2.0,2.0,2015-12-31 00:00:00,551,552,3,2015-12-31 00:00:00,,0
552,46,Travel_Rarely,Research & Development,6,4,Medical,553,3,Sales Executive,Married,21740,3.0,11,1,3,4,9,2015-12-31 00:00:00,552,553,1.0,3.0,3.0,2015-12-31 00:00:00,552,553,3,2015-12-31 00:00:00,,0
553,38,Travel_Rarely,Research & Development,7,4,Medical,554,1,Sales Executive,Single,66530,7.0,20,1,2,0,0,2015-12-31 00:00:00,553,554,4.0,2.0,3.0,2015-12-31 00:00:00,553,554,3,2015-12-31 00:00:00,,0
554,43,Travel_Frequently,Research & Development,5,3,Medical,555,2,Laboratory Technician,Married,96990,8.0,19,1,3,0,1,2015-12-31 00:00:00,554,555,3.0,1.0,3.0,2015-12-31 00:00:00,554,555,3,2015-12-31 00:00:00,,0
555,39,Travel_Frequently,Sales,1,3,Marketing,556,2,Healthcare Representative,Divorced,67550,7.0,14,1,2,11,5,2015-12-31 00:00:00,555,556,1.0,4.0,3.0,2015-12-31 00:00:00,555,556,3,2015-12-31 00:00:00,556.0,1
556,40,Travel_Rarely,Research & Development,1,1,Life Sciences,557,1,Healthcare Representative,Single,22130,1.0,17,0,4,4,9,2015-12-31 00:00:00,556,557,3.0,3.0,4.0,2015-12-31 00:00:00,556,557,3,2015-12-31 00:00:00,,0
557,21,Travel_Rarely,Research & Development,1,4,Life Sciences,558,1,Research Scientist,Single,26100,1.0,11,1,3,2,2,2015-12-31 00:00:00,557,558,4.0,2.0,4.0,2015-12-31 00:00:00,557,558,2,2015-12-31 00:00:00,,0
558,39,Non-Travel,Research & Development,6,3,Life Sciences,559,1,Laboratory Technician,Single,28510,9.0,15,0,2,0,3,2015-12-31 00:00:00,558,559,3.0,2.0,2.0,2015-12-31 00:00:00,558,559,3,2015-12-31 00:00:00,,0
559,36,Non-Travel,Research & Development,1,3,Medical,560,3,Sales Representative,Single,34520,2.0,13,3,4,0,9,2015-12-31 00:00:00,559,560,1.0,4.0,3.0,2015-12-31 00:00:00,559,560,4,2015-12-31 00:00:00,,0
560,31,Travel_Frequently,Research & Development,7,3,Life Sciences,561,1,Sales Executive,Married,52580,0.0,14,3,5,2,2,2015-12-31 00:00:00,560,561,3.0,4.0,3.0,2015-12-31 00:00:00,560,561,3,2015-12-31 00:00:00,,0
561,28,Travel_Rarely,Sales,2,4,Marketing,562,1,Sales Executive,Married,93550,0.0,11,0,4,0,4,2015-12-31 00:00:00,561,562,1.0,2.0,1.0,2015-12-31 00:00:00,561,562,3,2015-12-31 00:00:00,,0
562,35,Travel_Frequently,Research & Development,9,2,Other,563,1,Manufacturing Director,Divorced,104960,1.0,13,1,2,0,2,2015-12-31 00:00:00,562,563,4.0,4.0,3.0,2015-12-31 00:00:00,562,563,3,2015-12-31 00:00:00,,0
563,49,Travel_Rarely,Sales,2,2,Medical,564,1,Sales Executive,Married,63800,6.0,23,1,1,2,3,2015-12-31 00:00:00,563,564,4.0,2.0,3.0,2015-12-31 00:00:00,563,564,2,2015-12-31 00:00:00,,0
564,34,Travel_Frequently,Sales,9,1,Technical Degree,565,2,Sales Executive,Single,26570,2.0,13,1,3,0,2,2015-12-31 00:00:00,564,565,4.0,3.0,2.0,2015-12-31 00:00:00,564,565,2,2015-12-31 00:00:00,,0
565,29,Travel_Frequently,Research & Development,1,4,Medical,566,3,Research Scientist,Divorced,27160,0.0,18,0,2,1,1,2015-12-31 00:00:00,565,566,4.0,2.0,2.0,2015-12-31 00:00:00,565,566,1,2015-12-31 00:00:00,,0
566,42,Travel_Rarely,Sales,21,2,Life Sciences,567,1,Healthcare Representative,Single,22010,4.0,12,1,3,0,0,2015-12-31 00:00:00,566,567,2.0,4.0,3.0,2015-12-31 00:00:00,566,567,4,2015-12-31 00:00:00,,0
567,29,Travel_Rarely,Sales,4,2,Other,568,2,Healthcare Representative,Married,65400,1.0,22,0,2,1,2,2015-12-31 00:00:00,567,568,2.0,4.0,2.0,2015-12-31 00:00:00,567,568,1,2015-12-31 00:00:00,,0
568,38,Travel_Rarely,Research & Development,1,3,Medical,569,1,Human Resources,Married,38160,1.0,13,2,2,5,0,2015-12-31 00:00:00,568,569,3.0,3.0,4.0,2015-12-31 00:00:00,568,569,2,2015-12-31 00:00:00,,0
569,28,Travel_Frequently,Sales,6,4,Life Sciences,570,1,Manager,Divorced,52530,1.0,15,0,2,0,2,2015-12-31 00:00:00,569,570,3.0,3.0,3.0,2015-12-31 00:00:00,569,570,3,2015-12-31 00:00:00,,0
570,18,Non-Travel,Research & Development,2,4,Medical,571,3,Laboratory Technician,Single,109650,1.0,18,0,5,0,0,2015-12-31 00:00:00,570,571,3.0,3.0,3.0,2015-12-31 00:00:00,570,571,4,2015-12-31 00:00:00,571.0,1
571,33,Travel_Rarely,Research & Development,3,2,Life Sciences,572,1,Sales Executive,Single,49360,0.0,14,0,2,0,3,2015-12-31 00:00:00,571,572,1.0,1.0,3.0,2015-12-31 00:00:00,571,572,2,2015-12-31 00:00:00,572.0,1
572,41,Travel_Rarely,Research & Development,4,2,Medical,573,2,Research Scientist,Married,25430,3.0,12,0,3,0,0,2015-12-31 00:00:00,572,573,2.0,4.0,3.0,2015-12-31 00:00:00,572,573,3,2015-12-31 00:00:00,,0
573,31,Travel_Frequently,Sales,10,3,Technical Degree,574,1,Research Director,Married,53040,1.0,17,0,3,2,2,2015-12-31 00:00:00,573,574,3.0,3.0,2.0,2015-12-31 00:00:00,573,574,4,2015-12-31 00:00:00,574.0,1
574,37,Travel_Rarely,Research & Development,23,3,Life Sciences,575,3,Manufacturing Director,Divorced,166590,7.0,16,1,2,1,3,2015-12-31 00:00:00,574,575,3.0,4.0,3.0,2015-12-31 00:00:00,574,575,3,2015-12-31 00:00:00,,0
575,27,Travel_Rarely,Research & Development,6,2,Medical,576,1,Healthcare Representative,Married,42600,1.0,11,2,2,2,2,2015-12-31 00:00:00,575,576,4.0,3.0,3.0,2015-12-31 00:00:00,575,576,3,2015-12-31 00:00:00,,0
576,34,Travel_Rarely,Sales,1,1,Marketing,577,2,Laboratory Technician,Married,24760,1.0,19,0,2,1,3,2015-12-31 00:00:00,576,577,2.0,3.0,2.0,2015-12-31 00:00:00,576,577,3,2015-12-31 00:00:00,,0
577,35,Travel_Rarely,Research & Development,6,3,Life Sciences,578,3,Laboratory Technician,Single,31020,1.0,13,1,3,1,4,2015-12-31 00:00:00,577,578,3.0,3.0,1.0,2015-12-31 00:00:00,577,578,2,2015-12-31 00:00:00,,0
578,29,Travel_Rarely,Research & Development,6,3,Life Sciences,579,1,Sales Executive,Married,22440,1.0,12,3,5,3,10,2015-12-31 00:00:00,578,579,4.0,1.0,1.0,2015-12-31 00:00:00,578,579,1,2015-12-31 00:00:00,579.0,1
579,40,Travel_Frequently,Research & Development,2,4,Medical,580,4,Human Resources,Single,75960,9.0,11,0,0,2,13,2015-12-31 00:00:00,579,580,2.0,3.0,2.0,2015-12-31 00:00:00,579,580,1,2015-12-31 00:00:00,,0
580,42,Travel_Frequently,Sales,2,4,Life Sciences,581,1,Laboratory Technician,Single,22850,0.0,16,0,3,13,14,2015-12-31 00:00:00,580,581,3.0,1.0,2.0,2015-12-31 00:00:00,580,581,1,2015-12-31 00:00:00,581.0,1
581,42,Travel_Rarely,Research & Development,1,2,Life Sciences,582,4,Laboratory Technician,Single,30340,7.0,21,1,3,1,5,2015-12-31 00:00:00,581,582,2.0,1.0,4.0,2015-12-31 00:00:00,581,582,2,2015-12-31 00:00:00,,0
582,35,Travel_Rarely,Research & Development,5,3,Medical,583,1,Healthcare Representative,Married,57150,6.0,24,2,0,1,7,2015-12-31 00:00:00,582,583,4.0,3.0,3.0,2015-12-31 00:00:00,582,583,3,2015-12-31 00:00:00,,0
583,24,Travel_Rarely,Sales,7,4,Life Sciences,584,1,Laboratory Technician,Single,25760,8.0,17,3,3,1,2,2015-12-31 00:00:00,583,584,4.0,2.0,3.0,2015-12-31 00:00:00,583,584,3,2015-12-31 00:00:00,,0
584,28,Travel_Rarely,Research & Development,15,4,Life Sciences,585,2,Sales Executive,Married,41970,1.0,13,0,3,0,0,2015-12-31 00:00:00,584,585,3.0,4.0,2.0,2015-12-31 00:00:00,584,585,1,2015-12-31 00:00:00,585.0,1
585,26,Travel_Rarely,Research & Development,1,4,Life Sciences,586,2,Sales Representative,Married,143360,1.0,21,1,3,0,7,2015-12-31 00:00:00,585,586,1.0,4.0,3.0,2015-12-31 00:00:00,585,586,3,2015-12-31 00:00:00,,0
586,30,Travel_Rarely,Research & Development,7,2,Life Sciences,587,1,Manufacturing Director,Married,34480,1.0,11,0,3,1,4,2015-12-31 00:00:00,586,587,3.0,3.0,3.0,2015-12-31 00:00:00,586,587,3,2015-12-31 00:00:00,,0
587,40,Travel_Frequently,Research & Development,26,4,Life Sciences,588,2,Research Scientist,Married,194060,3.0,20,3,2,0,0,2015-12-31 00:00:00,587,588,3.0,4.0,1.0,2015-12-31 00:00:00,587,588,3,2015-12-31 00:00:00,,0
588,35,Travel_Rarely,Research & Development,18,5,Medical,589,2,Research Scientist,Divorced,65380,2.0,16,1,3,6,4,2015-12-31 00:00:00,588,589,3.0,2.0,4.0,2015-12-31 00:00:00,588,589,3,2015-12-31 00:00:00,,0
589,34,Travel_Frequently,Research & Development,6,2,Life Sciences,590,1,Research Director,Single,43060,0.0,11,0,2,4,9,2015-12-31 00:00:00,589,590,4.0,1.0,3.0,2015-12-31 00:00:00,589,590,3,2015-12-31 00:00:00,,0
590,35,Travel_Frequently,Research & Development,3,3,Medical,591,2,Laboratory Technician,Married,22580,1.0,11,1,2,2,2,2015-12-31 00:00:00,590,591,4.0,4.0,4.0,2015-12-31 00:00:00,590,591,3,2015-12-31 00:00:00,,0
591,43,Travel_Rarely,Sales,5,3,Marketing,592,3,Research Scientist,Single,45220,8.0,15,1,3,1,3,2015-12-31 00:00:00,591,592,1.0,3.0,2.0,2015-12-31 00:00:00,591,592,3,2015-12-31 00:00:00,592.0,1
592,32,Non-Travel,Research & Development,11,2,Other,593,2,Research Scientist,Divorced,44870,1.0,11,0,5,0,0,2015-12-31 00:00:00,592,593,3.0,1.0,3.0,2015-12-31 00:00:00,592,593,2,2015-12-31 00:00:00,,0
593,56,Travel_Rarely,Research & Development,3,2,Other,594,2,Healthcare Representative,Divorced,44490,4.0,15,0,3,4,2,2015-12-31 00:00:00,593,594,4.0,1.0,3.0,2015-12-31 00:00:00,593,594,1,2015-12-31 00:00:00,,0
594,29,Travel_Rarely,Research & Development,26,1,Life Sciences,595,1,Laboratory Technician,Married,22180,1.0,24,1,1,0,8,2015-12-31 00:00:00,594,595,2.0,4.0,3.0,2015-12-31 00:00:00,594,595,3,2015-12-31 00:00:00,,0
595,19,Travel_Rarely,Research & Development,23,4,Life Sciences,596,2,Laboratory Technician,Single,191970,1.0,12,0,2,0,0,2015-12-31 00:00:00,595,596,3.0,1.0,3.0,2015-12-31 00:00:00,595,596,3,2015-12-31 00:00:00,,0
596,45,Travel_Rarely,Research & Development,22,3,Life Sciences,597,2,Sales Representative,Married,132120,4.0,13,0,4,0,2,2015-12-31 00:00:00,596,597,1.0,3.0,2.0,2015-12-31 00:00:00,596,597,3,2015-12-31 00:00:00,,0
597,37,Travel_Rarely,Research & Development,14,4,Life Sciences,598,3,Research Scientist,Married,65770,1.0,13,0,1,3,11,2015-12-31 00:00:00,597,598,4.0,4.0,2.0,2015-12-31 00:00:00,597,598,1,2015-12-31 00:00:00,,0
598,20,Travel_Rarely,Research & Development,6,3,Medical,599,5,Research Director,Single,83920,1.0,17,0,5,1,2,2015-12-31 00:00:00,598,599,1.0,3.0,2.0,2015-12-31 00:00:00,598,599,3,2015-12-31 00:00:00,,0
599,44,Travel_Rarely,Human Resources,6,2,Human Resources,600,3,Sales Executive,Single,45580,1.0,13,1,2,0,2,2015-12-31 00:00:00,599,600,3.0,3.0,3.0,2015-12-31 00:00:00,599,600,1,2015-12-31 00:00:00,600.0,1
600,53,Travel_Rarely,Research & Development,6,4,Life Sciences,601,1,Research Director,Divorced,40310,3.0,12,1,3,4,7,2015-12-31 00:00:00,600,601,4.0,3.0,3.0,2015-12-31 00:00:00,600,601,2,2015-12-31 00:00:00,,0
601,29,Travel_Rarely,Research & Development,23,3,Medical,602,1,Sales Executive,Married,79690,0.0,14,0,3,1,3,2015-12-31 00:00:00,601,602,2.0,4.0,2.0,2015-12-31 00:00:00,601,602,3,2015-12-31 00:00:00,,0
602,22,Travel_Frequently,Research & Development,22,4,Medical,603,1,Sales Representative,Married,26540,0.0,24,0,5,0,0,2015-12-31 00:00:00,602,603,3.0,4.0,3.0,2015-12-31 00:00:00,602,603,2,2015-12-31 00:00:00,603.0,1
603,46,Travel_Rarely,Research & Development,2,3,Life Sciences,604,2,Research Scientist,Married,165550,8.0,14,2,4,15,9,2015-12-31 00:00:00,603,604,3.0,1.0,3.0,2015-12-31 00:00:00,603,604,3,2015-12-31 00:00:00,,0
604,44,Non-Travel,Research & Development,20,3,Life Sciences,605,1,Sales Representative,Single,45560,2.0,13,0,4,0,0,2015-12-31 00:00:00,604,605,4.0,3.0,3.0,2015-12-31 00:00:00,604,605,3,2015-12-31 00:00:00,,0
605,33,Travel_Rarely,Research & Development,28,4,Life Sciences,606,1,Manager,Married,60910,1.0,15,0,6,1,4,2015-12-31 00:00:00,605,606,2.0,3.0,3.0,2015-12-31 00:00:00,605,606,1,2015-12-31 00:00:00,,0
606,41,Non-Travel,Research & Development,12,3,Life Sciences,607,2,Sales Representative,Divorced,195660,6.0,16,0,2,0,0,2015-12-31 00:00:00,606,607,1.0,1.0,1.0,2015-12-31 00:00:00,606,607,4,2015-12-31 00:00:00,607.0,1
607,30,Travel_Rarely,Sales,20,3,Marketing,608,3,Sales Executive,Divorced,48100,8.0,18,0,3,0,3,2015-12-31 00:00:00,607,608,3.0,1.0,3.0,2015-12-31 00:00:00,607,608,2,2015-12-31 00:00:00,,0
608,40,Travel_Frequently,Sales,9,3,Medical,609,1,Manufacturing Director,Married,45230,5.0,16,1,5,0,0,2015-12-31 00:00:00,608,609,2.0,2.0,3.0,2015-12-31 00:00:00,608,609,4,2015-12-31 00:00:00,,0
609,50,Travel_Frequently,Research & Development,25,4,Life Sciences,610,2,Healthcare Representative,Married,32020,2.0,24,1,2,2,2,2015-12-31 00:00:00,609,610,4.0,1.0,3.0,2015-12-31 00:00:00,609,610,3,2015-12-31 00:00:00,,0
610,28,Travel_Rarely,Research & Development,6,3,Technical Degree,611,2,Research Scientist,Married,23510,1.0,16,0,4,3,3,2015-12-31 00:00:00,610,611,4.0,1.0,3.0,2015-12-31 00:00:00,610,611,3,2015-12-31 00:00:00,,0
611,46,Travel_Rarely,Research & Development,8,4,Other,612,3,Manager,Married,17020,5.0,21,0,2,0,3,2015-12-31 00:00:00,611,612,4.0,2.0,3.0,2015-12-31 00:00:00,611,612,3,2015-12-31 00:00:00,,0
612,35,Travel_Rarely,Sales,4,4,Marketing,613,1,Laboratory Technician,Married,180410,3.0,20,1,3,1,7,2015-12-31 00:00:00,612,613,3.0,1.0,3.0,2015-12-31 00:00:00,612,613,2,2015-12-31 00:00:00,,0
613,24,Travel_Rarely,Human Resources,28,4,Human Resources,614,3,Manufacturing Director,Married,28860,1.0,19,1,5,0,0,2015-12-31 00:00:00,613,614,4.0,2.0,1.0,2015-12-31 00:00:00,613,614,3,2015-12-31 00:00:00,614.0,1
614,33,Travel_Frequently,Research & Development,9,2,Medical,615,1,Sales Executive,Married,20970,1.0,14,2,5,0,1,2015-12-31 00:00:00,614,615,2.0,3.0,2.0,2015-12-31 00:00:00,614,615,2,2015-12-31 00:00:00,,0
615,36,Travel_Rarely,Research & Development,9,2,Medical,616,2,Sales Executive,Divorced,119350,1.0,11,3,6,1,7,2015-12-31 00:00:00,615,616,3.0,3.0,3.0,2015-12-31 00:00:00,615,616,4,2015-12-31 00:00:00,,0
616,30,Travel_Rarely,Sales,29,3,Marketing,617,1,Sales Executive,Divorced,25460,1.0,14,1,2,8,9,2015-12-31 00:00:00,616,617,3.0,3.0,2.0,2015-12-31 00:00:00,616,617,3,2015-12-31 00:00:00,,0
617,44,Travel_Rarely,Research & Development,3,4,Medical,618,2,Research Scientist,Single,25640,1.0,12,3,3,13,17,2015-12-31 00:00:00,617,618,4.0,4.0,3.0,2015-12-31 00:00:00,617,618,1,2015-12-31 00:00:00,,0
618,20,Travel_Rarely,Research & Development,18,4,Medical,619,1,Human Resources,Single,84120,1.0,13,0,2,2,2,2015-12-31 00:00:00,618,619,3.0,4.0,3.0,2015-12-31 00:00:00,618,619,2,2015-12-31 00:00:00,,0
619,46,Travel_Rarely,Sales,9,1,Medical,620,1,Sales Executive,Divorced,141180,2.0,22,0,3,1,4,2015-12-31 00:00:00,619,620,4.0,4.0,2.0,2015-12-31 00:00:00,619,620,3,2015-12-31 00:00:00,,0
620,42,Non-Travel,Research & Development,5,4,Medical,621,5,Sales Executive,Married,170460,7.0,11,0,3,0,3,2015-12-31 00:00:00,620,621,4.0,1.0,4.0,2015-12-31 00:00:00,620,621,2,2015-12-31 00:00:00,,0
621,60,Travel_Rarely,Sales,2,2,Life Sciences,622,2,Sales Executive,Divorced,25640,0.0,14,1,3,1,9,2015-12-31 00:00:00,621,622,2.0,4.0,3.0,2015-12-31 00:00:00,621,622,3,2015-12-31 00:00:00,,0
622,32,Travel_Frequently,Sales,10,3,Life Sciences,623,1,Sales Executive,Married,102660,1.0,11,0,3,2,2,2015-12-31 00:00:00,622,623,3.0,2.0,3.0,2015-12-31 00:00:00,622,623,3,2015-12-31 00:00:00,,0
623,32,Travel_Frequently,Research & Development,9,3,Life Sciences,624,2,Research Scientist,Single,50700,4.0,12,1,6,0,7,2015-12-31 00:00:00,623,624,4.0,3.0,3.0,2015-12-31 00:00:00,623,624,3,2015-12-31 00:00:00,,0
624,36,Travel_Rarely,Sales,3,2,Marketing,625,4,Healthcare Representative,Divorced,178610,2.0,18,0,2,7,7,2015-12-31 00:00:00,624,625,3.0,1.0,3.0,2015-12-31 00:00:00,624,625,2,2015-12-31 00:00:00,,0
625,33,Travel_Rarely,Sales,26,2,Marketing,626,1,Research Scientist,Married,42300,0.0,12,0,0,4,10,2015-12-31 00:00:00,625,626,1.0,4.0,3.0,2015-12-31 00:00:00,625,626,3,2015-12-31 00:00:00,,0
626,40,Travel_Rarely,Research & Development,1,3,Medical,627,2,Research Scientist,Divorced,37800,7.0,12,0,2,1,3,2015-12-31 00:00:00,626,627,2.0,2.0,4.0,2015-12-31 00:00:00,626,627,1,2015-12-31 00:00:00,,0
627,25,Travel_Rarely,Research & Development,6,2,Medical,628,1,Laboratory Technician,Single,27680,0.0,22,1,0,1,1,2015-12-31 00:00:00,627,628,3.0,4.0,3.0,2015-12-31 00:00:00,627,628,3,2015-12-31 00:00:00,,0
628,30,Travel_Rarely,Sales,9,3,Marketing,629,1,Research Scientist,Married,90710,0.0,19,1,2,5,7,2015-12-31 00:00:00,628,629,4.0,2.0,3.0,2015-12-31 00:00:00,628,629,2,2015-12-31 00:00:00,,0
629,42,Travel_Frequently,Human Resources,8,2,Medical,630,1,Sales Executive,Married,106480,3.0,13,1,1,0,0,2015-12-31 00:00:00,629,630,1.0,1.0,3.0,2015-12-31 00:00:00,629,630,3,2015-12-31 00:00:00,,0
630,35,Non-Travel,Research & Development,1,1,Life Sciences,631,2,Sales Executive,Married,136100,4.0,22,2,4,4,12,2015-12-31 00:00:00,630,631,3.0,4.0,2.0,2015-12-31 00:00:00,630,631,2,2015-12-31 00:00:00,,0
631,27,Travel_Rarely,Research & Development,7,3,Life Sciences,632,3,Manufacturing Director,Married,34080,1.0,24,0,2,6,8,2015-12-31 00:00:00,631,632,1.0,1.0,2.0,2015-12-31 00:00:00,631,632,3,2015-12-31 00:00:00,,0
632,54,Travel_Frequently,Research & Development,9,2,Medical,633,2,Sales Representative,Divorced,29830,7.0,14,1,2,1,4,2015-12-31 00:00:00,632,633,4.0,3.0,1.0,2015-12-31 00:00:00,632,633,2,2015-12-31 00:00:00,,0
633,44,Travel_Rarely,Human Resources,4,4,Life Sciences,634,5,Laboratory Technician,Married,76320,1.0,21,0,3,7,7,2015-12-31 00:00:00,633,634,1.0,4.0,3.0,2015-12-31 00:00:00,633,634,3,2015-12-31 00:00:00,,0
634,19,Non-Travel,Sales,2,2,Other,635,3,Healthcare Representative,Single,98240,1.0,18,0,2,0,0,2015-12-31 00:00:00,634,635,1.0,2.0,4.0,2015-12-31 00:00:00,634,635,3,2015-12-31 00:00:00,,0
635,29,Travel_Rarely,Research & Development,19,4,Life Sciences,636,1,Manufacturing Director,Divorced,99500,1.0,20,0,3,1,2,2015-12-31 00:00:00,635,636,1.0,4.0,3.0,2015-12-31 00:00:00,635,636,3,2015-12-31 00:00:00,,0
636,54,Travel_Rarely,Research & Development,9,4,Life Sciences,637,2,Sales Executive,Married,20930,3.0,19,0,2,0,9,2015-12-31 00:00:00,636,637,4.0,4.0,3.0,2015-12-31 00:00:00,636,637,3,2015-12-31 00:00:00,,0
637,31,Travel_Rarely,Research & Development,21,3,Life Sciences,638,2,Laboratory Technician,Married,99800,1.0,12,0,1,0,1,2015-12-31 00:00:00,637,638,3.0,1.0,2.0,2015-12-31 00:00:00,637,638,3,2015-12-31 00:00:00,,0
638,31,Travel_Rarely,Sales,24,1,Marketing,639,1,Sales Executive,Single,38940,1.0,12,0,3,1,8,2015-12-31 00:00:00,638,639,3.0,1.0,3.0,2015-12-31 00:00:00,638,639,4,2015-12-31 00:00:00,,0
639,59,Travel_Rarely,Research & Development,3,4,Technical Degree,640,1,Research Scientist,Single,40510,5.0,16,3,3,0,5,2015-12-31 00:00:00,639,640,3.0,4.0,3.0,2015-12-31 00:00:00,639,640,3,2015-12-31 00:00:00,,0
640,43,Travel_Rarely,Research & Development,11,2,Life Sciences,641,3,Laboratory Technician,Married,168350,3.0,17,1,3,0,7,2015-12-31 00:00:00,640,641,3.0,4.0,3.0,2015-12-31 00:00:00,640,641,3,2015-12-31 00:00:00,,0
641,49,Travel_Rarely,Sales,14,4,Life Sciences,642,2,Research Scientist,Married,62300,2.0,14,0,2,0,0,2015-12-31 00:00:00,641,642,1.0,3.0,4.0,2015-12-31 00:00:00,641,642,2,2015-12-31 00:00:00,,0
642,36,Travel_Frequently,Sales,5,2,Marketing,643,1,Laboratory Technician,Married,47170,1.0,19,1,3,0,7,2015-12-31 00:00:00,642,643,3.0,2.0,2.0,2015-12-31 00:00:00,642,643,3,2015-12-31 00:00:00,,0
643,48,Travel_Rarely,Research & Development,1,4,Life Sciences,644,2,Laboratory Technician,Single,132370,5.0,13,1,2,0,0,2015-12-31 00:00:00,643,644,4.0,2.0,2.0,2015-12-31 00:00:00,643,644,4,2015-12-31 00:00:00,,0
644,27,Travel_Rarely,Research & Development,6,4,Life Sciences,645,2,Laboratory Technician,Divorced,37550,1.0,19,0,2,0,3,2015-12-31 00:00:00,644,645,1.0,3.0,3.0,2015-12-31 00:00:00,644,645,3,2015-12-31 00:00:00,,0
645,29,Travel_Rarely,Sales,17,4,Medical,646,1,Laboratory Technician,Divorced,65820,1.0,19,1,3,1,0,2015-12-31 00:00:00,645,646,3.0,4.0,3.0,2015-12-31 00:00:00,645,646,3,2015-12-31 00:00:00,,0
646,48,Travel_Rarely,Sales,1,1,Marketing,647,2,Manufacturing Director,Single,74060,6.0,14,2,2,0,0,2015-12-31 00:00:00,646,647,4.0,4.0,4.0,2015-12-31 00:00:00,646,647,3,2015-12-31 00:00:00,,0
647,29,Travel_Rarely,Research & Development,3,3,Technical Degree,648,2,Healthcare Representative,Divorced,48050,2.0,16,1,2,1,7,2015-12-31 00:00:00,647,648,4.0,4.0,2.0,2015-12-31 00:00:00,647,648,3,2015-12-31 00:00:00,,0
648,34,Travel_Rarely,Sales,9,4,Medical,649,2,Laboratory Technician,Married,27410,0.0,15,1,3,0,0,2015-12-31 00:00:00,648,649,3.0,3.0,2.0,2015-12-31 00:00:00,648,649,3,2015-12-31 00:00:00,,0
649,44,Travel_Rarely,Research & Development,4,3,Life Sciences,650,1,Laboratory Technician,Married,42620,7.0,18,0,2,3,10,2015-12-31 00:00:00,649,650,2.0,2.0,3.0,2015-12-31 00:00:00,649,650,3,2015-12-31 00:00:00,,0
650,33,Travel_Rarely,Research & Development,8,2,Life Sciences,651,2,Research Scientist,Divorced,161840,0.0,13,1,2,0,8,2015-12-31 00:00:00,650,651,4.0,3.0,3.0,2015-12-31 00:00:00,650,651,4,2015-12-31 00:00:00,,0
651,19,Travel_Rarely,Sales,2,4,Marketing,652,3,Laboratory Technician,Single,115570,1.0,22,0,0,0,1,2015-12-31 00:00:00,651,652,2.0,4.0,3.0,2015-12-31 00:00:00,651,652,3,2015-12-31 00:00:00,,0
